昵称,个人主页地址,境内外网站,网站类别,信源级别（低中高）,信源属性（综合、维权、涉政等）,ID,名称,备注,
明镜网（ 杂志）,http://s2.mingjingnews.com/search/label/雜誌,境外,境外网站,高,境外媒体,,,板块不存在,
博讯（大众观点),http://news.boxun.com/news/gb/pubvp/page1.shtml,境外,境外网站,高,境外媒体,4412,博讯网_大众观点,数据停采，python采集,问题
苹果日报（即时新闻 两岸）,https://hk.news.appledaily.com/realtime/china,境外,境外网站,高,境外媒体,2071086,苹果日报_即时两岸,数据停采，python采集,问题
金融时报,http://www.ftchinese.com,境外,境外网站,高,境外媒体,104239,FT中文网,OK,
博闻社（视频）,https://bowenpress.com/news/bowen_category/video,境外,境外网站,高,境外媒体,2607879,博闻社_视频,数据停采，python采集,问题
联合早报（财经）,http://www.zaobao.com.sg/zfinance,境外,境外网站,高,境外媒体,2997308,联合早报_财经频道,OK,
博讯（大陆),http://news.boxun.com/news/gb/china/page1.shtml,境外,境外网站,高,境外媒体,495,博讯网_大陆新闻,数据停采，python采集,问题
联合早报（专题）,http://www.zaobao.com.sg/special/report,境外,境外网站,高,境外媒体,247713,联合早报_新闻专辑,数据停采，python采集,问题
博闻社（国际）,https://bowenpress.com/news/bowen_category/intl,境外,境外网站,高,境外媒体,2607877,博闻社_国际,数据停采，python采集,问题
博讯（国际),http://news.boxun.com/news/gb/intl/page1.shtml,境外,境外网站,高,境外媒体,156772,博讯网_国际,数据停采，python采集,问题
联合早报,http://www.zaobao.com/,境外,境外网站,高,境外媒体,446,联合早报,OK,
博讯（政党动态),http://news.boxun.com/news/gb/party/page1.shtml,境外,境外网站,高,境外媒体,4410,博讯网_政党动态,OK,
路透中文网(独家）,https://cn.reuters.com/exclusive/specialcoverage,境外,境外网站,高,境外媒体,,,2018年数据,
纽约时报中文网（国际）,https://cn.nytimes.com/world/zh-hant/,境外,境外网站,高,境外媒体,4011923,纽约时报繁体_國際,新配，试采OK,
苹果日报（即时新闻 国际）,https://hk.news.appledaily.com/realtime/international,境外,境外网站,高,境外媒体,2847850,苹果日报_即时国际,数据停采，python采集,问题
博讯网,http://www.peacehall.com,境外,境外网站,高,境外媒体,494,博讯网,数据停采，python采集,问题
BBC中文网,http://www.bbc.co.uk/zhongwen/simp,境外,境外网站,高,境外媒体,477,BBC中文网,OK,
维权网 ,http://wqw2010.blogspot.com,境外,境外网站,高,境外媒体,,,网站不存在,
阿波罗新闻网,http://www.aboluowang.com,境外,境外网站,高,境外媒体,429,阿波罗网,OK,
倍可亲网,http://www.backchina.com,境外,境外网站,高,境外媒体,496,倍可亲,改模板，试采空白,问题
权利与运动,http://www.hrcchina.org/,境外,境外网站,高,境外媒体,,,网站不存在,
八阙网,http://www.popyard.org,境外,境外网站,高,境外媒体,833696,八阙,数据停采，python采集,问题
自由亚洲电台,http://www.rfa.org/mandarin,境外,境外网站,高,境外媒体,465,自由亚洲电台中文部,部分板块停采，python采集,问题
东西南北论坛,http://www.omnitalk.com,境外,境外网站,高,境外媒体,493,东西南北论坛,OK,
